"Holiday (0=No, 1=Yes)",Temperature (K),Rainfall per hour,Snowfall per hour,Clouds,Hour,Traffic Volume per hour,Weather,Weather description,Date_Time,
0,288.28,0,0,40,9,5545,Clouds,scattered clouds,2012/10/2 9:00,
0,289.36,0,0,75,10,4516,Clouds,broken clouds,2012/10/2 10:00,1. 筛选节假日
0,289.58,0,0,90,11,4767,Clouds,overcast clouds,2012/10/2 11:00,2. 整理时间，抹除日期
0,290.13,0,0,90,12,5026,Clouds,overcast clouds,2012/10/2 12:00,
0,291.14,0,0,75,13,4918,Clouds,broken clouds,2012/10/2 13:00,
0,291.72,0,0,1,14,5181,Clear,sky is clear,2012/10/2 14:00,
0,293.17,0,0,1,15,5584,Clear,sky is clear,2012/10/2 15:00,
0,293.86,0,0,1,16,6015,Clear,sky is clear,2012/10/2 16:00,
0,294.14,0,0,20,17,5791,Clouds,few clouds,2012/10/2 17:00,
0,293.1,0,0,20,18,4770,Clouds,few clouds,2012/10/2 18:00,
0,290.97,0,0,20,19,3539,Clouds,few clouds,2012/10/2 19:00,
0,289.38,0,0,1,20,2784,Clear,sky is clear,2012/10/2 20:00,
0,288.61,0,0,1,21,2361,Clear,sky is clear,2012/10/2 21:00,
0,287.16,0,0,1,22,1529,Clear,sky is clear,2012/10/2 22:00,
0,285.45,0,0,1,23,963,Clear,sky is clear,2012/10/2 23:00,
0,284.63,0,0,1,0,506,Clear,sky is clear,2012/10/3 0:00,
0,283.47,0,0,1,1,321,Clear,sky is clear,2012/10/3 1:00,
0,281.18,0,0,1,2,273,Clear,sky is clear,2012/10/3 2:00,
0,281.09,0,0,1,3,367,Clear,sky is clear,2012/10/3 3:00,
0,279.53,0,0,1,4,814,Clear,sky is clear,2012/10/3 4:00,
0,278.62,0,0,1,5,2718,Clear,sky is clear,2012/10/3 5:00,
0,278.23,0,0,1,6,5673,Clear,sky is clear,2012/10/3 6:00,
0,278.12,0,0,1,8,6511,Clear,sky is clear,2012/10/3 8:00,
0,282.48,0,0,1,9,5471,Clear,sky is clear,2012/10/3 9:00,
0,291.97,0,0,1,12,5097,Clear,sky is clear,2012/10/3 12:00,
0,293.23,0,0,1,13,4887,Clear,sky is clear,2012/10/3 13:00,
0,294.31,0,0,1,14,5337,Clear,sky is clear,2012/10/3 14:00,
0,295.17,0,0,1,15,5692,Clear,sky is clear,2012/10/3 15:00,
0,295.13,0,0,1,16,6137,Clear,sky is clear,2012/10/3 16:00,
0,293.66,0,0,20,18,4623,Clouds,few clouds,2012/10/3 18:00,
0,290.65,0,0,20,19,3591,Clouds,few clouds,2012/10/3 19:00,
0,288.19,0,0,20,20,2898,Clouds,few clouds,2012/10/3 20:00,
0,287.1,0,0,1,21,2637,Clear,sky is clear,2012/10/3 21:00,
0,286.25,0,0,1,22,1777,Clear,sky is clear,2012/10/3 22:00,
0,285.26,0,0,1,23,1015,Clear,sky is clear,2012/10/3 23:00,
0,284.55,0,0,1,0,598,Clear,sky is clear,2012/10/4 0:00,
0,283.47,0,0,1,1,369,Clear,sky is clear,2012/10/4 1:00,
0,283.17,0,0,1,2,312,Clear,sky is clear,2012/10/4 2:00,
0,282.04,0,0,1,3,367,Clear,sky is clear,2012/10/4 3:00,
0,281.69,0,0,1,4,835,Clear,sky is clear,2012/10/4 4:00,
0,281.32,0,0,1,5,2726,Clear,sky is clear,2012/10/4 5:00,
0,280.74,0,0,1,6,5689,Clear,sky is clear,2012/10/4 6:00,
0,280.57,0,0,1,7,6990,Clear,sky is clear,2012/10/4 7:00,
0,281.86,0,0,1,8,5985,Clear,sky is clear,2012/10/4 8:00,
0,284.98,0,0,1,9,5309,Clear,sky is clear,2012/10/4 9:00,
